Comment,Designator,Footprint,LibRef,Quantity 1 board,LCSC
RClamp0502B,"DT1, DT2, DT4, DT17, DT28, DT29, DT30, DT31",SOT_523,RCLAMP0502B,8,C5370962
ESD5451N-2/TR,"DT3, DT5, DT6, DT7, DT10, DT11, DT12, DT13, DT14, DT19, DT20, DT21, DT22",0402TVS,ESD5451N-2/TR,13,C239604
TPD4E05U06DQAR,"DT8, DT9, DT15, DT16, DT18, U1, U2, U5, U20, U27, U28, U29",USON-10,TPD4E05U06DQAR,12,C138714
ESD5341N,"DT23, DT24, DT25, DT26, DT27",ESD5341N,ESD5341N,5,C3021106
BST23C152V,"DT32, DT33",SOT_233_N,1110503043,2,C7529152
MMSZ5231B,DZ1,SOD_123,1110501012,1,C5240371
6V 1.1A,"F1, F2, F3, F5, F6, F7, F8",0805_HV,KLM2S110RY,7,C964940
36V 3A,"F4, F9, F10, F11, F12",2920F,2920L300/36GR,5,C22435908
0.15A 60V,"F13, F15, F16, F17",1206F,ASMD1206-005,4,C135333
6V 4A,F14,0805_HV,TLC-PSML400,1,C2841370
120ohm,"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB14, FB15",0402C,FB120Ohm100MHz_1,9,C108297
BLM18PG181SN1,"FB8, FB9, FB10, FB11, FB12, FB13",0603L,BLM18PG181SN1,6,C82850
3RM090M-5-S,"G1, G2",GDT2030,1110506004,2,C522561
TPS54560DDAR,IC1,SOIC127P600X175-9N,TPS54560,1,C31966
PI3PCIE3412AZHEX,"IC2, IC3, U39",QFN50P350X900X84-43N-R215X765,PI3PCIE3412AZHEX,3,C705319
LAN9513-JZX,IC4,QFN50P900X900X100-65N-S735,LAN9513,1,C633508
SATA30_7P_V_DIP,J1,AMPHENOL_SAT3M2132072TR,SATA_DIP_0,1,C7500835
SATA_IDE_DIP_4Pin,J2,TE_641737-1,SATA_IDE_DIP_0,1,C589534
1-2199230-6,J4,TE_1-2199230-6,1-2199230-6,1,C4710843
HR913550AE,J5,HR913550AE,HR913550AE,1,C192706
"0826-1X1T-GH-F, MP2147GD, MP8765GQ","JPoE, U21, U23, U30, U31","BEL_0826-1X1T-GH-F, QFN_2*3, QFN16P_MP8765","0826-1X1T-GH-F, 1110404132, MP8765GQ",5,Digikey
KEY,"K1, K2, K3, K4, K5, K7, K8",SW_SMT_1,TS-1088-AR02016,7,C720477
2.2uH 3A,"L1, L2",INDM2016,1110301080,2,C18724414
4.7uH,L3,INDM2016,MLP2016H4R7MT0S1,1,C383380
0.68uH,"L4, L9, L10",IND2520,IND_0.68uH,3,C602002
10uH,L5,IND-FXL0630-5R6-M,FXL0630-100-M,1,C167223
2.2uH,L11,IND410x410,FEXL0430A-2R2M,1,C5378484
QMB-09B-03,LS1,CUI_CST-951AP,QMB-09B-03,1,C96256
"3568_LEFT_UP, 010401121, AXK5F80547YG","P1, P2, P3, P3A, P4, P4A","SOCKET_80PIN_0.5MM_UPL, SOCKET_80PIN_0.5MM_UPR, SOCKET_80PIN_0.5MM","3568_LEFT_UP, 3568_RIGHT_UP, 3568_LEFT_DOWN, AXK5F80547YG, 3568_RIGHT_DOWN",6,C425111
HDMI,P5,HDMI,1120202041,1,C720616
HDR2x1,"P6, P24, P35, P38, P41, P43",header2x1,HDR254P_2x1,6,C2883389
PZ254V-12-14P,"P7, P19, P20",HDR254P_2x7,HDR2x7,3,C492424
HR851178A,P8,RJ45_Gigabit,1120202071,1,C2931908
#NAME?,"P9, P10",MOLEX_39-30-1060,39301060,2,C114098
AFD01-S26FCA-00,P11,FPC26,AFD01-S26FCA-00,1,C18198593
USB_A_H_Double,"P12, P33",USB_A_F_W_D,U224-081N-1BR61,2,C908455
TYPE-C,"P13, P18, P61",USB_TYPE-C_S,1120102031,3,C963370
DP5700-12V2A,P14,DP5700-12V2A,DP5700-12V2A,1,C22358555
AFC07-S30FCC-00,P15,FPC30,AFC07-S30FCC-00,1,C262218
M.2_E-Key,P16,M.2_E-Key,1120201188,1,C410527
TFCARD,P17,TF_CARD_SELF,TF-CARD H1.8 SY,1,C7529391
PZ254V-12-16P,P21,HDR254P_2x8,HDR2x8,1,C492425
PZ254V-11-07P,P22,HEADER254_7Pin,Header7Pin,1,C492406
Header 3_2.54DPZ,P25,HEADER 3_2.54_DPZ,Header 3_2.54DPZ,1,C2937625
SMA-KWE,P26,RF,BWSMA-KWE-Z001,1,C496551
AS0BC21-S40BB-7H,P27,M.2_B_4G5G,M.2_B-4G&5G,1,C2761526
MIS22-S1F1-2000-A,P28,MICRO_SIM_ZTS,MIS22-S1F1-2000-A,1,C22357905
1803293,"P30, P57",HEADER 4_3.81_2EDGR,1120203036,2,C480536
USB_TYPEC,P31,USB_TYPEC_SMT,DX07S024JJ3R1300,1,C134111
GMI6050P-52db,"P32, P42",MIC 2*5,1120202094,2,C233947
DC-044B-D025,P34,CUI_PJ-082BH,DC-042C,1,C3001296
USB 3.0,P40,USB3.0_A,1120202072,1,C7501850
PJ-393 8PJ,P45,PJ-393_8PJ,PJ-393 8PJ,1,C668609
BX-PH2.0-2PZZ,P46,PH2.0_2P_V,BX-PH2.0-2PZZ,1,C18077744
PH2.0-4PS,P47,PH2.0_4P_V,BX-PH2.0-4PZZ,1,C18077746
BSS138BKS,"Q1, Q2, Q3, Q11, Q12",SOT-363,UM6K1NTN_0,5,C5224290
BC807,"Q4, Q5, Q9, Q10",SOT-23,"BC807-40,215",4,C57316
2SK3018,"Q6, Q7, Q13",SOT323,1110505016,3,C194460
S8050,Q8,SOT_233_N,S8050,1,C111272
AO 3400A,"Q21, Q24",SOT_233_W,1110505027,2,C347475
AO 3401,Q22,SOT_233_W,1110505019,1,C727156
4.7K,"R1, R15, R16, R23, R41, R47, R48, R54, R57, R58, R59, R60, R61, R62, R63, R64, R74, R75, R84, R85, R87, R88, R89, R90, R91, R92, R93, R94, R144, R145, R148, R168, R180, R181, R199, R201, R202, R208, R226, R234, R248, R290, R291, R292, R355","0402, 0402R",Res4.7k,45,C105871
200K_1%,"R2, R103, R107, R171",0402R,Res200k_1%,4,C114763
22R,"R3, R4, R5, R6, R7, R9, R49, R50, R51, R65, R66, R69, R70, R71, R72, R76, R77, R78, R81, R82, R110, R111, R112, R113, R114, R122, R155, R156, R158, R251, R252, R255, R256, R257, R260, R261, R262, R264, R265, R266, R268, R280, R281, R284, R303, R304, R305, R306, R307, R308, R309, R310, R311, R312, R313, R314","0402R, 0402",Res22R,56,C114765
294k,R8,0402R,Res294k,1,C3013161
27k,"R10, R26, R31, R86, R117, R276",402,Res27k,6,C138022
2k,"R11, R12, R42, R43",0402R,Res2k,4,C60488
"10k, 10k_DNP","R13, R24, R25, R37, R46, R56, R97, R98, R99, R100, R109, R115, R121, R123, R137, R138, R139,  R170, R173, R192, R193, R196, R220, R228,  R244, R263, R267, R269, R296, R316, R319, R320, R321, R354","0402, 0402R","Res10k, Res10k_DNP, Res3",34,C60490
"1k, 1k_DNP","R14, R135, R140, R151, R153, R183, R187, R222, R273, R294, R295, R300, R337","0402, 0402R",Res1k,13,C106235
57.6k,R17,0402R,Res57.6k,1,C185408
"0R, 0R_DNP","R18, R32, R55, R120, R124, R125, R142, R174, R209, R210, R246, R270, R277, R278, R279, R282, R283, R287, R288, R315, R323, R324, R325, R326, R328, R342, R343, R344, R345, R346, R347, R348, R349, R351, R352, R353, R356, R357, R358, R359, R360",402,Res0R,41,C60485
97.6k,R19,0402R,Re97.6k,1,C62742
5.62k,R20,0402R,Res5.62k,1,C227157
143k,R21,0402R,Res143k,1,C375492
10.2k,R22,0402R,Res10.2k,1,C226746
100k,"R28, R136, R141, R157, R166, R182, R184, R185, R215, R224, R227, R271, R274, R275, R285, R289, R301","0402, 0402R",Res100k,17,C60491
4.7R,R29,402,Res4.7R,1,C25121
3.65M,R30,0603R,Res3.65M,1,C407525
150k,R33,402,Res150k,1,C93947
5.1K 1%,"R34, R35, R36, R40, R129, R130",0402R,Res5.1k1%,6,C105872
470R,R38,402,Res470R,1,C25117
20k,"R39, R177",402,Res20k,2,C93942
49.9R,"R44, R118, R119, R127, R133, R134, R329, R330, R333, R334",402,Res49.9R,10,C87044
1.8k,"R45, R143, R212","0402, 0402R",Res1.8k,3,C163481
"1.5k DNP, 1.5k","R53, R80, R146, R147","0402R, 0402",Res1.5k,4,C114759
2.49k,"R67, R83",0402R,Res2.49k,2,C145071
330R,"R68, R73, R95, R96, R169, R331, R332","0402R, 0402",Res330R,7,C105875
59R,"R101, R102, R105, R106",0402R,Res59R,4,C2077113
44.2K_1%,"R104, R108",0402R,Res44.2k_1%,2,C25895
100R,"R116, R132, R149, R242, R258","0402R, 0402",Res100R,5,C106233
3k,R126,402,Res3k,1,C137987
6.8k,R128,402,Res6.8k,1,C93940
12k,"R131, R317",402,Res12k,2,C114760
1.2k,R150,402,Res1.2k,1,C138040
2.2R,"R159, R160, R162, R164",402,Res2.2R,4,C25101
1M,R165,402,Res1M,1,C138033
15k,R167,402,Res15k,1,C114761
12.4k,R172,402,Res12.4k,1,C723611
510R,"R175, R176, R238, R243",402,Res510R,4,C137860
47K,"R178, R188, R189, R203, R217, R219, R236, R247, R286, R302",402,Res47k,10,C25792
200R,"R179, R186, R191, R194, R250, R293, R298, R299",402,Res200R,8,C114764
33K_1%,R197,0402R,1110103084,1,C5455470
10R,"R198, R318, R335",402,Res10R,3,C138066
2.2R,"R200, R207, R214, R216, R218, R221, R223, R225",402,Res2_2R,8,C25158
499R,"R204, R205, R206, R229, R230, R231, R232, R233",0402R,Res499R,8,C137970
2.2M,"R211, R213",0402R,Res2.2M,2,C11490
2.2k,"R241, R245, R249, R253, R254, R259",402,Res2.2k,6,C114762
1M,"R336, R370",1206R,Res1M_1206,2,C108083
SS-12D11L5,S1,SS-12D11L5,SS-12D11L5,1,C319010
DSWB01LHGET,S2,SWITCH_1P_DIP,1120204009,1,C126888
SMBJ36CA,TZ1,SMB/DO-214AA_D,SMBJ36CA,1,C83847
PI3PCIE3212ZBEX,"U3, U41",QFN50P250X450X100-21N-R115X315,PI3PCIE3212ZBEX,2,C154729
TLV803RDBZR,U4,SOT_233_W,TLV803RDBZR,1,C702124
DSC557-04444KI1,U6,QFN50P500X320X90_HS-21N,DSC557-04444KI1,1,C1670023
LSF0102DCTR,U7,SOP65P400X130-8N,1110405266,1,C132024
SY6288CAAC,"U8, U12, U24",SOT_235,SY6288CAAC,3,C111830
CP2102N-A02-GQFN28R,U9,QFN28P_0.5BSC_5*5_H,CP2102N-A02-GQFN28R,1,C964632
RTL8211FSI-CG,"U10, U11",QFN48P_0.4BSC_6*6_H,1110405363,2,C2904132
XC6227C121MR-G,U13,SOT_235,XC6227C121MR-G,1,C2897770
RT9013-28GB,U14,SOT_235,RT9013-28GB,1,C2972227
BR93G66F-3GTE2,U15,SOIC127P600X175-8N,BR93G66F-3GTE2,1,C880948
"PCF8563T/5,518",U16,SOP8_1.27,"PCF8563T/5,518",1,C7440
24FC256T-I/SN,U18,SOIC127P600X175-8N,24FC256T-I/SN,1,C6482
AW-CM358SM,U19,AP6256,1110702075,1,C5248079
RT9013-18GB,"U22, U26, U33",SOT_235,RT9013-18GB,3,C59969
HEF4052BT,"U25, U46",SOIC127P600X175-16N,HEF4052BT,2,C11352
FUSB302BMPX,U32,WQFN14_0.5_2.5x2.5,FUSB302BMPX,1,C132291
AP7370-33SA-7,U34,SOT_233_N,AP7370-33SA-7,1,C3745233
MB6S,"U35, U36",SOIC245P670X270-4N,MB6S,2,C7603185
,U37,N04C,FOD817AS,1,C243067
NAU88C22YG,U38,QFN32P_0.5BSC_5*5_H_3..65*3.65,1110405394,1,C914209
SN74LVC1G3157DBVR,"U40, U42, U43",SOT23-6,SN74LVC1G3157DBVR,3,C3040658
TCAN1044VDDFR,"U44, U45",SOT65P280X100-8N,TCAN1044VDDFR,2,C1855774
TXS0102DCUR,U47,SOP50P310X100-8N,TXS0102DCUR,1,C53434
TLP185,"U48, U49, U50, U51, U52, U53, U54, U55",SOP-4-2.54MM,TLP185,8,C7240
32.768KHZ,X1,CRYSTALS_3215_2PIN,X321532768KGD2SI,1,C620155
37.4MHZ,"X2, X4",Crystals_3225,XC32M4-37.400-F16NLDT,2,C2842192
32.768kHZ,X3,Crystals_3225,S3D32.768KD20F30T,1,C387416
